,date_created,user,tweet,user_mention,retweet_count,retweeted,location,followers,following,verfied,hashtag,comment,likes,type
0,Sat Feb 22 19:41:31 +0000 2020,Trevornoah,"Incredible night last night! Thank you to everyone that came out in Salt Lake City! 🙏🏾#LoudAndClearTour See you tonight Aspen, CO! https://t.co/26CtsVt97K",Nan,41,False,"New York, NY",10807999,325,True,LoudAndClearTour,0,1161,Influencer
0,Wed Feb 26 15:40:47 +0000 2020,Trevornoah,Halfway to the weekend. 🙌🏾🎵@postmalone 🎥 TikTok: GrayAcres https://t.co/U7hkfGhBu4,PostMalone,762,False,"New York, NY",10807999,325,True,Nan,0,5359,Influencer
0,Sat Feb 29 15:29:30 +0000 2020,Trevornoah,"Thank you to everyone that came to the show last night in Westbury, NY! 🙏🏾You were incredible! #LoudAndClearTour 📷: @dpmeyer https://t.co/Xk9CLhJCU5",dpmeyer,61,False,"New York, NY",10807999,325,True,LoudAndClearTour,0,1400,Influencer
0,Mon Mar 02 22:48:03 +0000 2020,Trevornoah,Mondays be like... 🎥: Somirabel/ TikTok https://t.co/buqdHRwOsN,Nan,670,False,"New York, NY",10807999,325,True,Nan,0,4733,Influencer
0,Wed Mar 04 18:39:33 +0000 2020,Trevornoah,I love Klopp🙌🏽 https://t.co/amJas5Hd4c,Nan,3512,False,"New York, NY",10807999,325,True,Nan,0,18935,Influencer
0,Thu Mar 05 02:27:36 +0000 2020,Trevornoah,Here we go! Season 2 baby. The first episode of my podcast is up. Visit https://t.co/Ykg8yZ9iAb to listen! Also now available in SA🔥🇿🇦 https://t.co/JJtAw5ino2,Nan,129,False,"New York, NY",10807999,325,True,Nan,0,1413,Influencer
0,Mon Mar 09 22:24:10 +0000 2020,Trevornoah,Back in the swing of things! 🙌🏾Happy Monday everyone! 😃📷: @ruminasean https://t.co/YvJjV6MPT6,ruminasean,83,False,"New York, NY",10807999,325,True,Nan,0,2513,Influencer
0,Fri Mar 13 03:47:06 +0000 2020,Trevornoah,"Thank you for informing everyone and being amazing. 😄
Get well soon!🙏🏽❤️ https://t.co/QbFpRQOQu6",Nan,340,False,"New York, NY",10807999,325,True,Nan,0,7963,Influencer
0,Fri Mar 13 19:03:11 +0000 2020,Trevornoah,https://t.co/Vgv6hw2pJO,Nan,347,False,"New York, NY",10807999,325,True,Nan,0,4905,Influencer
0,Sun Mar 15 22:47:42 +0000 2020,Trevornoah,👍🏽 https://t.co/akvqlGupB6,Nan,51,False,"New York, NY",10807999,325,True,Nan,0,664,Influencer
0,Mon Mar 16 18:25:45 +0000 2020,Trevornoah,@jaboukie 😂😂😂😂,jaboukie,4,False,"New York, NY",10807999,325,True,Nan,1,217,Influencer
